Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	766	360304	360543	240	Board_Screen	1	0,34104	0,38972	3,32348
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	767	360603	361203	600	Board_Screen	1	0,44282	0,39838	3,34307
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	768	361523	361663	140	Nametag_Bianca	1	0,65648	0,49942	3,42549
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	769	361683	361843	160	Nametag_Bianca	1	0,64452	0,47624	3,48256
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	770	361903	362302	400	Bianca	1	0,54377	0,30501	3,6597
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	771	362342	362562	220	Nametag_Bianca	1	0,6243	0,4449	3,7543
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	772	362582	363102	520	Bianca	1	0,55862	0,41691	3,78679
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	773	363182	363322	140	Bianca	1	0,53021	0,44811	3,81423
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	774	363382	363462	80	Carl(a)	1	0,34096	0,33524	3,78773
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	775	363702	363802	100	Material_Students	1	0,75648	0,46551	3,58892
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	776	363921	364021	100	Bianca	1	0,45479	0,33746	3,72444
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	777	364061	364161	100	Disruptive_Person,Material_Students	1	0,36404	0,40413	3,65413
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	778	364181	364321	140	Nametag_Anna	1	0,32471	0,46539	3,75117
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	779	364381	364481	100	Carl(a)	1	0,48055	0,3329	3,78612
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	780	364501	364621	120	Anna,Disruptive_Person	1	0,44176	0,31172	3,67682
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	781	364681	365021	340	Bianca	1	0,60859	0,17871	3,85205
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	782	365061	365181	120	Carl(a)	1	0,56753	0,05156	3,75204
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	783	365201	365321	120	Carl(a)	1	0,57778	0,1901	3,87108
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	784	365441	365680	240	Nametag_Carl(a)	1	0,71165	0,54108	3,78588
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	785	365700	365820	120	Nametag_Carl(a)	1	0,70395	0,43092	3,85617
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	786	365900	366100	200	Nametag_Bianca	1	0,43216	0,28716	3,90868
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	787	366200	366920	720	Bianca	1	0,48758	0,29532	3,96997
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	788	367020	367200	180	Anna	1	0,41673	0,44914	3,84458
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	789	367299	367479	180	Bianca	1	0,66423	0,42363	3,77513
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	790	367619	367779	160	Board_Screen	0,87493	0,22539	0,29137	3,63628
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	791	367819	367959	140	Board_Screen	1	0,36005	0,38319	3,79435
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	792	368259	368479	220	Classroom_Others	1	0,55461	0,87364	3,67493
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	793	368659	369018	360	Board_Screen	1	0,35645	0,30654	3,93225
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	794	369038	369438	400	Board_Screen	1	0,33646	0,41988	3,71942
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	795	369458	369778	320	Board_Screen	1	0,28892	0,36446	3,49662
