Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	205	205			0,4774	0,15005	4,80902
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	2	605	1225	620			0,50242	0,067	4,99978
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	3	1245	1624	380			0,50642	0,04866	5,05097
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	4	1664	1924	260			0,41611	0,20488	4,94233
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	5	1984	2124	140			0,59698	0,03909	4,98585
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	6	2564	3563	999			0,53573	0,06234	4,88261
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	7	3883	4603	720			0,49684	0,09308	5,09582
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	8	4643	4963	320			0,53204	0,35024	4,95352
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	9	4982	5202	220			0,47502	0,29539	4,96795
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	10	5422	5702	280			0,32036	0,44367	4,88219
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	11	5722	6502	780			0,47231	0,28443	4,99583
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	12	6761	6921	160			0,4767	0,30923	5,09618
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	13	6941	7321	380			0,49805	0,24338	5,08899
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	14	7461	7661	200			0,51997	0,27161	5,04978
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	15	7701	8061	360			0,60358	0,11359	5,17464
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	16	8221	9200	979			0,6171	0,27801	5,03953
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	17	9480	10140	660			0,49698	0,22305	5,05918
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	18	10279	11039	760			0,41545	0,07626	5,13912
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	19	11059	12338	1279			0,4925	0,11125	5,05269
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	20	12358	12698	340			0,50755	0,21718	5,088
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	21	12718	16276	3558			0,493	0,18111	5,13283
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	22	16296	17355	1059			0,51032	0,1735	5,18585
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	23	17435	17875	440			0,47397	0,11915	5,24571
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	24	18195	20393	2199			0,51262	0,20942	5,00567
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	25	20413	20473	60			0,55293	0,19991	5,10961
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	26	20493	21593	1099			0,53151	0,19909	5,13895
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	27	21733	21756	23			0,50469	0,5143	3,65352
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	205	205			0,4774	0,15005	4,80902
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	2	605	1225	620			0,50242	0,067	4,99978
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	3	1245	1624	380			0,50642	0,04866	5,05097
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	4	1664	1924	260			0,41611	0,20488	4,94233
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	5	1984	2124	140			0,59698	0,03909	4,98585
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	6	2564	3563	999			0,53573	0,06234	4,88261
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	7	3883	4603	720			0,49684	0,09308	5,09582
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	8	4643	4963	320			0,53204	0,35024	4,95352
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	9	4982	5202	220			0,47502	0,29539	4,96795
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	10	5422	5702	280			0,32036	0,44367	4,88219
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Whole	11	5722	6502	780			0,47231	0,28443	4,99583
Recording091	ProVisioNET_study_215_07	Female	Expert	Calibration_phase1_fix	1	fullstream	Fixation	Partial	12	6761	6921	160			0,4767	0,30923	5,09618
