Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	568	568			0,49321	0,41617	4,6817										
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	1	568	608	40							336,28	485,92				0,49321	0,41617		
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	2	628	688	60							156,53	199,46							
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	3	708	728	20							177,43	177,43						0,48974	0,40199
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	2	728	1008	280			0,48974	0,40199	4,67357										
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	4	1008	1028	20							127,65	127,65				0,48974	0,40199		
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	5	1148	1228	80							302,13	387,06							
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	6	1248	1268	20							113,72	113,72						0,57763	0,60256
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	3	1268	1628	360			0,57763	0,60256	4,83844										
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Whole	7	1628	1648	20						95,73	158,57	158,57	9,93			0,57763	0,60256	0,55818	0,40858
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Fixation	Whole	4	1648	2487	840			0,55818	0,40858	4,76795										
Recording128	ProVisioNET_study_233_01	Female	Expert	Calibration_phase1	1	fullstream	Saccade	Partial	8	2487	2507	20							207,13	207,13				0,55818	0,40858		
