Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1662	607649	607689	40							391,63	391,63			Anna			0,16614	0,36332
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	961	607689	607829	140	Anna	1	0,16614	0,36332	4,7058										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1663	607829	607869	40						3,57	500,65	856,52	21,19	Anna	Bianca	0,16614	0,36332	0,41658	0,3477
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	962	607869	608848	979	Bianca	1	0,41658	0,3477	4,27932										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1664	608848	608868	20							300,18	300,18		Bianca		0,41658	0,3477		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1665	608948	608988	40							157,73	184,21			Bianca			0,39426	0,36227
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	963	608988	609968	979	Bianca	1	0,39426	0,36227	4,38019										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1666	609968	609988	20							312,38	312,38		Bianca		0,39426	0,36227		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1667	610127	610167	40							523,05	523,05							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1668	610207	610247	40							277,84	277,84			Classroom_Others			0,87323	0,17471
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	964	610247	610867	620	Classroom_Others	1	0,87323	0,17471	4,48262										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1669	610867	610907	40							413,76	604,24		Classroom_Others		0,87323	0,17471		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1670	610967	611047	80							154,93	165,04			Material_Students			0,36746	0,37009
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	965	611047	611347	300	Material_Students	1	0,36746	0,37009	4,51955										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1671	611347	611427	80						20,81	350,79	487,32	29,4	Material_Students	Carl(a)	0,36746	0,37009	0,70412	0,24217
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	966	611427	611707	280	Carl(a)	1	0,70412	0,24217	4,52312										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1672	611707	611767	60							455,8	623,89		Carl(a)		0,70412	0,24217		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1673	611906	611926	20							102,63	102,63			Classroom_Others			0,50137	0,94595
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	967	611926	612266	340	Classroom_Others	1	0,50137	0,94595	4,36587										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1674	612266	612306	40						104,27	147,07	149,26	9,87	Classroom_Others	Material_Teacher	0,50137	0,94595	0,45035	0,7454
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	968	612306	613505	1199	Material_Teacher	1	0,45035	0,7454	4,35008										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	969	613605	615164	1559	Material_Teacher	1	0,48782	0,70847	4,32278										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1675	615164	615184	20						74,09	125,22	125,22	3,3	Material_Teacher	Material_Teacher	0,48782	0,70847	0,5046	0,64959
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	970	615184	617123	1939	Material_Teacher	1	0,5046	0,64959	4,24252										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1676	617123	617143	20							109,52	109,52		Material_Teacher		0,5046	0,64959		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	971	617203	619102	1899	Material_Teacher	1	0,50406	0,66645	4,48248										
