Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	1	0	1522	1522			0,48049	0,24983	3,58729
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	2	1562	5060	3498			0,52093	0,2782	3,66553
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	3	5080	8338	3258			0,44725	0,41151	3,72714
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Whole	4	8358	12696	4337			0,54345	0,33673	3,69658
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	5	12716	25788	13072			0,48921	0,31573	3,58299
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	6	25808	28866	3058			0,46876	0,28631	3,6991
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	7	28886	29246	360			0,4739	0,32084	3,75785
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1	1	fullstream	Fixation	Partial	8	29266	32135	2869			0,49049	0,28461	3,63063
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	1	0	1522	1522			0,48049	0,24983	3,58729
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	2	1562	5060	3498			0,52093	0,2782	3,66553
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	3	5080	8338	3258			0,44725	0,41151	3,72714
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Whole	4	8358	12696	4337			0,54345	0,33673	3,69658
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	5	12716	25788	13072			0,48921	0,31573	3,58299
Recording094	ProVisioNET_study_125_01	Male	Novice	Calibration_phase1_fix	1	fullstream	Fixation	Partial	6	25808	28866	3058			0,46876	0,28631	3,6991
